학교명,학교급,구,동,학생수,lat,lon,_지표1_원,_지표2_원,_지표3_원,_지표4_원,_지표5_원,영향사업수,영향사업목록,지표1_임박도,지표2_학생유입,지표3_수용여석,지표4_외곽성,지표5_트램접근성,종합점수,순위,점수설명,slope_300m_mean
대전변동초등학교,초,서구,변동,152,36.3250319,127.3857104,5.3,4391.1,152,63.86109643189911,943.0559653388202,16,도마·변동1(1_공사중); 도마·변동2(4_조합설립); 도마·변동3(2_관리처분); 도마·변동4(3_사업시행); 도마·변동5(3_사업시행); 도마·변동6(2_관리처분); 도마·변동6-1(4_조합설립); 도마·변동16(4_조합설립); 변동A(4_조합설립); 변동B(6_입안); 가장동1(6_입안); 태평동5(2_관리처분); 태평동6(9_미정); 태평동7(9_미정); 태평동8(9_미정); 삼부4(9_미정),1.0,1.0,0.0907952410770194,0.0,0.0,0.6313,1,임박도=0.333 | 학생유입=0.278 | 수용여석=0.020 | 외곽성=0.000,1.95647394657135
대전신평초등학교,초,중구,태평2동,314,36.3234302,127.3897213,4.65,3082.32,314,2544.1867081244345,761.6803952638063,12,도마·변동1(1_공사중); 도마·변동2(4_조합설립); 도마·변동3(2_관리처분); 도마·변동4(3_사업시행); 도마·변동5(3_사업시행); 도마·변동6(2_관리처분); 가장동1(6_입안); 태평동5(2_관리처분); 태평동6(9_미정); 태평동7(9_미정); 태평동8(9_미정); 삼부4(9_미정),0.8773584905660379,0.7019471203115393,0.1922354414527238,0.203658113425496,0.0,0.5641,2,임박도=0.292 | 학생유입=0.195 | 수용여석=0.043 | 외곽성=0.034,1.3191107511520386
대전내동초등학교,초,서구,내동,705,36.3311179,127.3792468,3.25,3511.9800000000005,705,852.7229434564769,1741.9379855160137,10,도마·변동1(1_공사중); 도마·변동2(4_조합설립); 도마·변동3(2_관리처분); 도마·변동4(3_사업시행); 변동A(4_조합설립); 내동1(5_초기); 내동2(4_조합설립); 변동B(6_입안); 가장동1(6_입안); 도마동1(6_입안),0.6132075471698113,0.7997950399672065,0.4370695053224796,0.0647729938202537,0.0,0.5345,3,임박도=0.204 | 학생유입=0.222 | 수용여석=0.097 | 외곽성=0.011,2.316295623779297
대전유천초등학교,초,서구,도마2동,485,36.3141096,127.3754395,4.7,2281.5,485,1481.7762500987892,1029.9859023811923,9,도마·변동5(3_사업시행); 도마·변동6(2_관리처분); 도마·변동6-1(4_조합설립); 도마·변동9(1_공사중); 도마·변동12(3_사업시행); 도마·변동13(3_사업시행); 도마·변동16(4_조합설립); 복수동2(2_관리처분); 정림동1(5_초기),0.8867924528301887,0.5195736831317893,0.2993112085159674,0.1164242000453195,0.0,0.5258,4,임박도=0.296 | 학생유입=0.144 | 수용여석=0.067 | 외곽성=0.019,3.7988440990448
대전버드내중학교,중,서구,도마1동,771,36.3167368,127.3832698,5.05,1267.2,771,929.6246738835102,291.4374489820036,11,산성동2(3_사업시행); 도마·변동4(3_사업시행); 도마·변동5(3_사업시행); 도마·변동6(2_관리처분); 도마·변동6-1(4_조합설립); 도마·변동9(1_공사중); 도마·변동12(3_사업시행); 도마·변동16(4_조합설립); 복수동2(2_관리처분); 산성동3(6_입안); 삼부4(9_미정),0.9528301886792452,0.2885837261733961,0.4783969943644333,0.0710873507998756,0.4171251020359928,0.5159,5,임박도=0.318 | 학생유입=0.080 | 수용여석=0.106 | 외곽성=0.012,2.080617904663086
대전삼성초등학교,초,동구,삼성동,126,36.3371425,127.4289027,4.8500000000000005,2245.14,126,1908.2060311434668,746.1526256342112,10,중앙1(2_관리처분); 대전역복합2(3_사업시행); 대전역삼성4(2_관리처분); 삼성1(3_사업시행); 삼성3(5_초기); 삼성6(4_조합설립); 선화2(2_관리처분); 은행1(3_사업시행); 홍도동3(6_입안); 삼성동1(3_사업시행),0.9150943396226416,0.5112932978069276,0.0745147150907952,0.1514381047950044,0.0,0.4888,6,임박도=0.305 | 학생유입=0.142 | 수용여석=0.017 | 외곽성=0.025,1.7872291803359983
대전가양초등학교,초,동구,가양1동,386,36.3421995,127.4405406,4.25,2197.62,386,1165.4800209691605,498.8977470444097,9,성남동1(1_공사중); 성남동3(4_조합설립); 중앙1(2_관리처분); 대전역복합2(3_사업시행); 대전역삼성4(2_관리처분); 가양동1(4_조합설립); 자양동2(4_조합설립); 가양동3(6_입안); 가양동5(3_사업시행),0.8018867924528302,0.5004714080754252,0.2373199749530369,0.0904532980780645,0.0022045059111805,0.4741,7,임박도=0.267 | 학생유입=0.139 | 수용여석=0.053 | 외곽성=0.015,1.7006466388702393
대전성남초등학교,초,동구,성남동,309,36.3439503,127.4295994,4.15,2075.22,309,2082.6026774780244,957.3151949387184,10,성남동1(1_공사중); 성남동3(4_조합설립); 대전역삼성4(2_관리처분); 삼성3(5_초기); 삼성6(4_조합설립); 삼성7(5_초기); 홍도동3(6_입안); 가양동5(3_사업시행); 삼성동1(3_사업시행); 홍도동2(3_사업시행),0.7830188679245284,0.4725968436154949,0.1891045710707576,0.1657577134031633,0.0,0.4619,8,임박도=0.261 | 학생유입=0.131 | 수용여석=0.042 | 외곽성=0.028,3.292536973953247
대전변동중학교,중,서구,변동,284,36.3244764,127.3759137,4.7,1710.8000000000002,284,817.6225250445171,1294.823871804773,12,도마·변동1(1_공사중); 도마·변동2(4_조합설립); 도마·변동3(2_관리처분); 도마·변동4(3_사업시행); 도마·변동5(3_사업시행); 도마·변동6(2_관리처분); 도마·변동6-1(4_조합설립); 도마·변동16(4_조합설립); 변동A(4_조합설립); 내동1(5_초기); 변동B(6_입안); 도마동1(6_입안),0.8867924528301887,0.3896062490036665,0.1734502191609267,0.0618909185957241,0.0,0.4527,9,임박도=0.296 | 학생유입=0.108 | 수용여석=0.039 | 외곽성=0.010,6.414732933044434
대전문화초등학교,초,중구,문화2동,200,36.3113812,127.3969643,3.3,2541.96,200,2418.146496945816,730.453122680879,12,문화동5(9_미정); 문화동7(9_미정); 문화동8(1_공사중); 문화2(1_공사중); 산성동1(4_조합설립); 산성동2(3_사업시행); 유천동1(5_초기); 유천동3(4_조합설립); 산성동3(6_입안); 유천동2(6_입안); 문화동10(6_입안); 유천동2(중복)(6_입안),0.6226415094339622,0.5788891166222586,0.1208515967438948,0.1933090239739412,0.0,0.4274,10,임박도=0.208 | 학생유입=0.161 | 수용여석=0.027 | 외곽성=0.032,1.4933288097381592
대전가장초등학교,초,서구,가장동,493,36.3305,127.3887528,3.0500000000000003,2491.56,493,696.8721636845928,1515.0658840883336,10,도마·변동1(1_공사중); 도마·변동2(4_조합설립); 도마·변동3(2_관리처분); 변동A(4_조합설립); 가장동1(6_입안); 태평동5(2_관리처분); 태평동6(9_미정); 태평동7(9_미정); 태평동8(9_미정); 삼부4(9_미정),0.5754716981132076,0.5674113547858167,0.3043206011271133,0.0519761756788746,0.0,0.4257,11,임박도=0.192 | 학생유입=0.158 | 수용여석=0.068 | 외곽성=0.009,1.5154697895050049
